alpha,gamma,success ratio,optimal path found ratio,epsilon function
0.1,0.1,0.96,0.05,1/math.pow((self.total_num_of_trials)(1/1.1))
0.1,0.1,0.98,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.1,0.1,0.97,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.1,0.2,0.98,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.1,0.2,0.95,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.1,0.2,0.96,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.1,0.3,0.98,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.1,0.3,0.95,0.04,1/math.pow((self.total_num_of_trials)(1/1.3))
0.1,0.3,0.98,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.1,0.4,0.97,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.1,0.4,0.94,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.1,0.4,0.98,0.03,1/math.pow((self.total_num_of_trials)(1/1.5))
0.1,0.5,0.96,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.1,0.5,0.97,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.1,0.5,0.92,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.1,0.6,0.99,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.1,0.6,0.93,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.1,0.6,0.95,0.03,1/math.pow((self.total_num_of_trials)(1/1.5))
0.1,0.7,0.85,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.1,0.7,0.93,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.1,0.7,0.93,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.1,0.8,0.92,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.1,0.8,0.88,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.1,0.8,0.92,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.1,0.9,0.93,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.1,0.9,0.61,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
